City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Atar,MR,78.06,clear sky,20.5169,-13.0499,Oumou Elghoura
212,Omboue,GA,73.71,overcast clouds,-1.5746,9.2618,Hotel Olako
213,Jaru,BR,70.88,broken clouds,-10.4389,-62.4664,Hotel Paraná
214,Fuyu,CN,79.03,overcast clouds,45.1833,124.8167,Education Hostel
215,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
216,Aksu,CN,80.19,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
217,Mitsamiouli,KM,79.83,broken clouds,-11.3847,43.2844,Foyer ADM
218,Benguela,AO,75.92,clear sky,-12.5763,13.4055,Hotel Praia Morena
219,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
221,Maturin,VE,75.6,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
222,Itarema,BR,76.77,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
223,Hattiesburg,US,77.29,clear sky,31.3271,-89.2903,Quality Inn & Suites
224,Rincon,US,75.16,clear sky,32.296,-81.2354,Days Inn Rincon
225,Luganville,VU,83.91,light rain,-15.5333,167.1667,The Espiritu Hotel
226,Marica,BR,77.49,overcast clouds,-22.9194,-42.8186,Marica Hills
227,Shache,CN,77.67,overcast clouds,38.4167,77.2406,Delong Hotel
228,Lahaina,US,82.4,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
229,Malakal,SS,80.91,overcast clouds,9.5334,31.6605,Nile Palace Hotel
230,Inongo,CD,71.56,light rain,-1.95,18.2667,Hotel Du Lac
231,Sur,OM,83.77,clear sky,22.5667,59.5289,Sur Plaza Hotel
232,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
233,Paragominas,BR,72.55,light rain,-2.9667,-47.4833,INOVA
234,Shizukuishi,JP,72.37,clear sky,39.6833,140.9833,Hotel Taikan
235,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
236,Half Moon Bay,US,71.58,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
237,Alice,US,80.17,overcast clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
238,Correntina,BR,71.17,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
240,Tongzi,CN,76.5,overcast clouds,28.7829,105.0877,Jiayuan Hotel
241,Mukono,UG,71.35,light rain,0.3533,32.7553,Vegas Motel
242,San Ignacio,BZ,84.34,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
243,Nautla,MX,80.04,clear sky,20.2167,-96.7833,Casa Blanca
244,Byron Bay,AU,78.94,scattered clouds,-28.65,153.6167,Backpackers Inn
245,Bonthe,SL,80.55,moderate rain,7.5264,-12.505,Bonthe Holiday Village
