City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Bow Island,CA,49.8668,-111.3684,64.69,34,96,12.66,overcast clouds
144,Nome,US,64.5011,-165.4064,40.15,80,0,5.75,clear sky
145,Ambatofinandrahana,MG,-20.55,46.8,50.16,96,6,4.61,clear sky
146,Norcasia,CO,5.5778,-74.8852,72.0,90,100,3.53,overcast clouds
147,Kapoeta,SS,4.7717,33.5903,76.73,60,97,10.42,overcast clouds
148,Bambous Virieux,MU,-20.3428,57.7575,77.25,83,40,16.11,light rain
149,Iiyama,JP,36.85,138.3667,76.84,37,7,1.19,clear sky
150,Vernon,CA,50.2581,-119.2691,59.61,75,100,3.0,overcast clouds
151,Port Lincoln,AU,-34.7333,135.8667,57.72,54,88,20.18,overcast clouds
152,Guerrero Negro,MX,27.9769,-114.0611,59.56,81,0,14.76,clear sky
153,La Ronge,CA,55.1001,-105.2842,39.45,75,100,14.97,overcast clouds
154,Thompson,CA,55.7435,-97.8558,30.36,69,100,4.61,overcast clouds
155,Hilo,US,19.7297,-155.09,77.29,93,100,3.44,moderate rain
156,Kodiak,US,57.79,-152.4072,42.31,81,100,12.66,moderate rain
157,Qaanaaq,GL,77.484,-69.3632,16.81,93,100,4.41,overcast clouds
158,Isangel,VU,-19.55,169.2667,81.01,71,7,7.67,clear sky
159,Vysokogornyy,RU,50.1167,139.15,50.31,63,100,5.99,overcast clouds
160,Axim,GH,4.8699,-2.2405,79.84,86,100,5.82,overcast clouds
161,Tual,ID,-5.6667,132.75,84.04,71,100,8.84,moderate rain
162,Bucerias,MX,20.75,-105.3333,76.98,78,75,8.05,broken clouds
163,Beyneu,KZ,45.3167,55.2,60.21,45,2,11.95,clear sky
164,Bud,US,39.447,-86.1758,59.02,82,100,5.7,overcast clouds
165,Aitape,PG,-3.1374,142.3475,83.89,78,75,5.61,broken clouds
166,Corowa,AU,-36.0333,146.3833,59.58,47,0,9.95,clear sky
167,Touros,BR,-5.1989,-35.4608,76.17,93,91,10.94,heavy intensity rain
168,Kulhudhuffushi,MV,6.6221,73.07,85.15,71,100,14.25,overcast clouds
169,Beloha,MG,-25.1667,45.05,64.8,91,71,7.81,broken clouds
170,Okhotsk,RU,59.3833,143.3,33.22,89,100,14.2,overcast clouds
171,Tokur,RU,53.1333,132.9,33.35,100,100,1.34,snow
172,Biak,ID,-0.9131,122.8766,84.0,69,89,2.73,overcast clouds
173,Santa Cruz,BO,-17.8,-63.1667,58.46,77,5,4.61,clear sky
174,Husavik,IS,66.0449,-17.3389,31.33,93,100,1.34,overcast clouds
175,Necochea,AR,-38.5473,-58.7368,54.82,68,88,11.34,overcast clouds
176,Dukat,RU,62.55,155.55,32.77,97,5,3.42,clear sky
177,Tura,IN,25.5198,90.2201,80.55,63,10,1.54,clear sky
