City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Longyearbyen,SJ,2022-05-04 17:44:58,78.2186,15.6401,19.24,58,20,8.05
109,Luchow,DE,2022-05-04 17:49:51,52.9667,11.15,60.75,71,96,1.59
110,Aracati,BR,2022-05-04 17:49:51,-4.5617,-37.7697,85.19,68,90,9.55
111,Ucluelet,CA,2022-05-04 17:45:15,48.9329,-125.5528,50.09,78,100,1.99
112,Hohhot,CN,2022-05-04 17:49:52,40.8106,111.6522,53.89,30,0,4.47
113,Buala,SB,2022-05-04 17:49:53,-8.145,159.5921,79.75,79,8,4.18
114,Sabha,LY,2022-05-04 17:49:53,27.0377,14.4283,83.57,15,2,11.54
115,Soc Trang,VN,2022-05-04 17:49:54,9.6033,105.98,79.34,84,96,4.07
116,Constitucion,CL,2022-05-04 17:47:49,-35.3333,-72.4167,63.81,60,100,8.03
117,Bengkulu,ID,2022-05-04 17:49:54,-3.8004,102.2655,75.49,87,93,3.33
118,Cape Town,ZA,2022-05-04 17:48:30,-33.9258,18.4232,63.91,87,0,9.22
119,Coxim,BR,2022-05-04 17:49:55,-18.5067,-54.76,79.12,26,2,9.04
120,Bambous Virieux,MU,2022-05-04 17:49:56,-20.3428,57.7575,79.05,78,40,16.11
121,Amatitan,MX,2022-05-04 17:49:56,20.8333,-103.7167,88.32,9,37,3.87
122,Ukiah,US,2022-05-04 17:48:48,39.1502,-123.2078,80.44,40,0,4.61
123,Preobrazheniye,RU,2022-05-04 17:49:59,42.9019,133.9064,41.41,87,95,16.84
124,Palmer,US,2022-05-04 17:50:00,42.1584,-72.3287,54.25,85,100,0.0
125,Saint George,US,2022-05-04 17:49:46,37.1041,-113.5841,69.8,26,0,6.91
126,Samarai,PG,2022-05-04 17:50:01,-10.6167,150.6667,81.36,79,19,6.15
127,Kallithea,GR,2022-05-04 17:50:02,37.95,23.7,64.53,69,20,5.01
128,Aquiraz,BR,2022-05-04 17:50:03,-3.9014,-38.3911,84.29,80,96,8.75
129,Ilembula,TZ,2022-05-04 17:50:05,-8.9,34.5833,60.12,86,58,10.16
130,Codrington,AU,2022-05-04 17:49:52,-38.2667,141.9667,46.96,78,70,7.0
131,Lishui,CN,2022-05-04 17:50:05,28.4604,119.9103,56.1,72,58,2.3
132,Marsh Harbour,BS,2022-05-04 17:50:06,26.5412,-77.0636,79.63,70,70,5.73
133,Gayeri,BF,2022-05-04 17:50:07,12.6497,0.4931,101.57,9,76,5.53
134,Barrow,US,2022-05-04 17:50:08,71.2906,-156.7887,15.82,79,100,13.8
135,Bethel,US,2022-05-04 17:49:33,41.3712,-73.414,55.89,92,100,3.44
136,Djambala,CG,2022-05-04 17:50:09,-2.5447,14.7533,71.08,88,91,5.77
137,Mizan Teferi,ET,2022-05-04 17:50:09,6.9833,35.5833,62.56,97,52,2.93
138,Talnakh,RU,2022-05-04 17:50:10,69.4865,88.3972,33.21,95,98,14.97
139,San Cristobal,VE,2022-05-04 17:49:22,7.7669,-72.225,87.98,42,84,7.9
140,Kassala,SD,2022-05-04 17:51:11,15.451,36.4,101.34,12,1,8.41
141,Catuday,PH,2022-05-04 17:51:11,16.2923,119.8062,81.03,74,47,1.66
142,Khagaria,IN,2022-05-04 17:51:12,25.5,86.4833,85.89,51,9,12.62
143,Butaritari,KI,2022-05-04 17:51:12,3.0707,172.7902,80.49,79,29,11.52
144,Cherskiy,RU,2022-05-04 17:51:13,68.75,161.3,31.03,99,100,3.76
145,Hervey Bay,AU,2022-05-04 17:51:13,-25.2986,152.8535,66.02,96,1,7.0
146,Katsuura,JP,2022-05-04 17:51:14,35.1333,140.3,62.65,81,85,13.6
147,Santa Maria,BR,2022-05-04 17:48:04,-29.6842,-53.8069,69.1,78,75,9.66
148,Marrakesh,MA,2022-05-04 17:48:28,31.6315,-8.0083,75.27,31,40,8.05
149,Hualmay,PE,2022-05-04 17:51:14,-11.0964,-77.6139,70.41,75,54,7.87
150,Aldan,RU,2022-05-04 17:51:15,58.6031,125.3894,26.74,88,100,7.72
151,Casablanca,MA,2022-05-04 17:51:15,33.5928,-7.6192,68.32,70,75,9.22
152,Sarichioi,RO,2022-05-04 17:51:16,44.95,28.85,57.42,62,20,5.75
153,Kedrovoye,RU,2022-05-04 17:51:17,57.1576,60.5698,49.55,47,86,11.12
154,Diffa,NE,2022-05-04 17:51:17,13.3154,12.6113,95.63,15,88,8.37
155,Tuatapere,NZ,2022-05-04 17:51:18,-46.1333,167.6833,51.4,85,20,5.06
156,Verkhovazhye,RU,2022-05-04 17:51:18,60.7472,42.0465,28.04,75,84,4.72
157,Fare,PF,2022-05-04 17:51:19,-16.7,-151.0167,81.86,74,91,10.8
158,Redmond,US,2022-05-04 17:46:58,47.674,-122.1215,59.86,76,100,1.99
159,Salalah,OM,2022-05-04 17:51:19,17.0151,54.0924,82.71,75,0,1.19
160,San Ramon,US,2022-05-04 17:47:11,37.7799,-121.978,79.12,40,0,4.61
161,Sistranda,NO,2022-05-04 17:51:20,63.7256,8.834,42.76,60,100,5.5
162,Cidreira,BR,2022-05-04 17:46:54,-30.1811,-50.2056,66.92,86,99,18.41
